Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Inside Out 2,https://www.imdb.com/title/tt22022452/?ref_=sr_t_1,2024,1h 36m,PG,7.6,194K,200000000.0,1698772985.0,652980194.0,154201673.0,['Kelsey Mann'],"['Meg LeFauve', 'Dave Holstein', 'Kelsey Mann']","['Amy Poehler', 'Maya Hawke', 'Kensington Tallman']","['Coming-of-Age', 'Computer Animation', 'Quest', 'Teen Comedy', 'Teen Drama', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']",['English'],0,63,0,2024
2. Deadpool & Wolverine,https://www.imdb.com/title/tt6263850/?ref_=sr_t_2,2024,2h 8m,R,7.6,441K,200000000.0,1338073645.0,636745858.0,211435291.0,['Shawn Levy'],"['Ryan Reynolds', 'Rhett Reese', 'Paul Wernick']","['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin']","['Buddy Comedy', 'Dark Comedy', 'Raunchy Comedy', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']","['United States', 'United Kingdom', 'New Zealand', 'Canada']","['Vancouver Film Studios - 3500 Cornett Rd, Vancouver, British Columbia, Canada']","['Marvel Studios', '20th Century Studios', 'Maximum Effort']","['English', 'French', 'Spanish']",0,35,0,2024
3. Wicked,https://www.imdb.com/title/tt1262426/?ref_=sr_t_3,2024,2h 40m,PG,7.9,90K,150000000.0,654775945.0,443881945.0,112508890.0,['Jon M. Chu'],"['Winnie Holzman', 'Dana Fox', 'Gregory Maguire']","['Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum']","['Fairy Tale', 'Pop Musical', 'Fantasy', 'Musical', 'Romance']","['United States', 'Japan', 'Canada', 'Iceland', 'United Kingdom']","['Sky Studios Elstree Rowley, Borehamwood, Hertfordshire, England, UK']","['Universal Pictures', 'Marc Platt Productions', 'Moving Pictures (I)']",['English'],0,172,0,2024
4. Moana 2,https://www.imdb.com/title/tt13622970/?ref_=sr_t_4,2024,1h 40m,PG,7.0,56K,150000000.0,913455483.0,416855483.0,139787385.0,"['David G. Derrick Jr.', 'Jason Hand', 'Dana Ledoux Miller']","['Jared Bush', 'Dana Ledoux Miller', 'Bek Smith']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Hualalai Chung']","['Computer Animation', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']","['United States', 'Canada']","['Walt Disney Animation Studios, Vancouver BC']","['Disney Television Animation', 'The Walt Disney Company', 'Walt Disney Animation Canada']",['English'],0,12,0,2024
5. Despicable Me 4,https://www.imdb.com/title/tt7510222/?ref_=sr_t_5,2024,1h 34m,PG,6.2,55K,100000000.0,969126452.0,361004205.0,75009210.0,"['Chris Renaud', 'Patrick Delage']","['Mike White', 'Ken Daurio']","['Steve Carell', 'Kristen Wiig', 'Pierre Coffin']","['Computer Animation', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",['United States'],[],"['Universal Pictures', 'Illumination Entertainment']",['English'],0,3,0,2024
6. Beetlejuice Beetlejuice,https://www.imdb.com/title/tt2049403/?ref_=sr_t_6,2024,1h 45m,PG-13,6.7,127K,100000000.0,451100435.0,294100435.0,111003345.0,['Tim Burton'],"['Michael McDowell', 'Larry Wilson', 'Alfred Gough']","['Michael Keaton', 'Winona Ryder', ""Catherine O'Hara""]","['Dark Comedy', 'Dark Fantasy', 'Slapstick', 'Supernatural Fantasy', 'Supernatural Horror', 'Comedy', 'Fantasy', 'Horror']","['United States', 'France']","['East Corinth, Vermont, USA']","['Warner Bros.', 'Domain Entertainment (II)', 'French Film Company']","['English', 'Italian', 'French', 'Spanish']",0,35,0,2024
7. Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=sr_t_7,2024,2h 46m,PG-13,8.5,574K,190000000.0,714444358.0,282144358.0,82505391.0,['Denis Villeneuve'],"['Denis Villeneuve', 'Jon Spaihts', 'Frank Herbert']","['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson']","['Action Epic', 'Desert Adventure', 'Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Drama', 'Sci-Fi']","['United States', 'Canada', 'United Arab Emirates', 'Hungary', 'Italy', 'New Zealand', 'Jordan', 'Gambia']","['Wadi Rum, Jordan']","['Warner Bros.', 'Legendary Entertainment', 'Villeneuve Films']",['English'],0,242,0,2024
8. Twisters,https://www.imdb.com/title/tt12584954/?ref_=sr_t_8,2024,2h 2m,PG-13,6.5,145K,155000000.0,370962265.0,267762265.0,81251415.0,['Lee Isaac Chung'],"['Mark L. Smith', 'Joseph Kosinski', 'Michael Crichton']","['Daisy Edgar-Jones', 'Glen Powell', 'Anthony Ramos']","['Disaster', 'Action', 'Adventure', 'Thriller']","['Japan', 'United States']","['Oklahoma City, Oklahoma, USA']","['Universal Pictures', 'Warner Bros.', 'Amblin Entertainment']",['English'],0,0,0,2024
9. Godzilla x Kong: The New Empire,https://www.imdb.com/title/tt14539740/?ref_=sr_t_9,2024,1h 55m,PG-13,6.1,114K,135000000.0,571750016.0,196350016.0,80006561.0,['Adam Wingard'],"['Terry Rossio', 'Adam Wingard', 'Simon Barrett']","['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens']","['Action Epic', 'Dinosaur Adventure', 'Disaster', 'Globetrotting Adventure', 'Kaiju', 'Supernatural Fantasy', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['United States', 'Australia']",['Morocco'],"['Legendary Entertainment', 'Screen Queensland', 'Warner Bros.']",['English'],0,5,0,2024
10. Kung Fu Panda 4,https://www.imdb.com/title/tt21692408/?ref_=sr_t_10,2024,1h 34m,PG,6.3,63K,85000000.0,547689492.0,193590620.0,57989905.0,"['Mike Mitchell', 'Stephanie Stine']","['Jonathan Aibel', 'Glenn Berger', 'Darren Lemke']","['Jack Black', 'Awkwafina', 'Viola Davis']","['Animal Adventure', 'Computer Animation', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['United States', 'China', 'Japan']",[],"['China Film Group Corporation (CFGC)', 'Dentsu', 'DreamWorks Animation']","['Mandarin', 'Chinese', 'English']",0,0,0,2024
