Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=sr_t_1,2021,2h 28m,PG-13,8.2,926K,200000000.0,1952723719.0,814866759.0,260138569.0,['Jon Watts'],"['Chris McKenna', 'Erik Sommers', 'Stan Lee']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']","['Superhero', 'Supernatural Fantasy', 'Urban Adventure', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],['Iceland'],"['Columbia Pictures', 'Pascal Pictures', 'Marvel Studios']",['English'],0,71,1,2021
2. Shang-Chi and the Legend of the Ten Rings,https://www.imdb.com/title/tt9376612/?ref_=sr_t_2,2021,2h 12m,PG-13,7.4,453K,200000000.0,432243292.0,224543292.0,75388688.0,['Destin Daniel Cretton'],"['Dave Callaham', 'Destin Daniel Cretton', 'Andrew Lanham']","['Simu Liu', 'Awkwafina', 'Tony Leung Chiu-wai']","['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Kung Fu', 'Martial Arts', 'Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],"['Disney Studios, Moore Park, Sydney, New South Wales, Australia']",['Marvel Studios'],"['English', 'Mandarin']",0,67,1,2021
3. Venom: Let There Be Carnage,https://www.imdb.com/title/tt7097896/?ref_=sr_t_3,2021,1h 37m,PG-13,5.9,279K,110000000.0,506813864.0,213550366.0,90033210.0,['Andy Serkis'],"['Kelly Marcel', 'Tom Hardy']","['Tom Hardy', 'Woody Harrelson', 'Michelle Williams']","['Kaiju', 'One-Person Army Action', 'Superhero', 'Action', 'Sci-Fi', 'Thriller']",['United States'],"['London, England, UK']","['Columbia Pictures', 'Marvel Entertainment', 'Avi Arad Productions']","['English', 'Spanish', 'Mandarin', 'Japanese']",0,6,0,2021
4. Black Widow,https://www.imdb.com/title/tt3480822/?ref_=sr_t_4,2021,2h 14m,PG-13,6.6,442K,200000000.0,379751655.0,183651655.0,80366312.0,['Cate Shortland'],"['Eric Pearson', 'Jac Schaeffer', 'Ned Benson']","['Scarlett Johansson', 'Florence Pugh', 'David Harbour']","['Spy', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Sæbø, Ørsta, Møre og Romsdal, Norway']",['Marvel Studios'],"['English', 'Russian', 'Norwegian', 'Hungarian', 'Macedonian', 'Finnish']",0,34,0,2021
5. F9: The Fast Saga,https://www.imdb.com/title/tt5433138/?ref_=sr_t_5,2021,2h 23m,PG-13,5.2,168K,200000000.0,726229501.0,173005945.0,70043165.0,['Justin Lin'],"['Daniel Casey', 'Justin Lin', 'Alfredo Botello']","['Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster']","['Action Epic', 'Car Action', 'Action', 'Crime', 'Thriller']","['United States', 'Thailand', 'Canada']","['Tbilisi, Georgia']","['One Race Films', 'Roth/Kirschenbaum Films', 'Perfect Storm Entertainment']","['English', 'Japanese', 'Spanish']",0,13,0,2021
6. Eternals,https://www.imdb.com/title/tt9032400/?ref_=sr_t_6,2021,2h 36m,PG-13,6.3,400K,200000000.0,402064899.0,164870234.0,71297219.0,['Chloé Zhao'],"['Chloé Zhao', 'Patrick Burleigh', 'Ryan Firpo']","['Gemma Chan', 'Richard Madden', 'Angelina Jolie']","['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],"['Fuerteventura, Canary Islands, Spain']",['Marvel Studios'],"['English', 'American Sign Language', 'Marathi', 'Assyrian Neo-Aramaic', 'Spanish', 'Sumerian', 'Latin', 'Sanskrit', 'Greek, Ancient (to 1453)', 'Arabic']",0,18,0,2021
7. Sing 2,https://www.imdb.com/title/tt6467266/?ref_=sr_t_7,2021,1h 50m,PG,7.3,93K,85000000.0,408402685.0,162790990.0,22326230.0,"['Garth Jennings', 'Christophe Lourdelet']",['Garth Jennings'],"['Matthew McConaughey', 'Reese Witherspoon', 'Scarlett Johansson']","['Animal Adventure', 'Computer Animation', 'Jukebox Musical', 'Adventure', 'Animation', 'Comedy', 'Family', 'Musical']","['United States', 'Japan', 'France']",[],"['Universal Pictures', 'Illumination Entertainment', 'Dentsu']",['English'],0,21,0,2021
8. No Time to Die,https://www.imdb.com/title/tt2382320/?ref_=sr_t_8,2021,2h 43m,PG-13,7.3,459K,250000000.0,774153007.0,160891007.0,55225007.0,['Cary Joji Fukunaga'],"['Neal Purvis', 'Robert Wade', 'Cary Joji Fukunaga']","['Daniel Craig', 'Ana de Armas', 'Rami Malek']","['Action Epic', 'Adventure Epic', 'Globetrotting Adventure', 'Spy', 'Action', 'Adventure', 'Thriller']","['United Kingdom', 'United States']","['Aviemore, Highland, Scotland, UK']","['Metro-Goldwyn-Mayer (MGM)', 'Universal Pictures', 'Eon Productions']","['English', 'French', 'Italian', 'Russian', 'Spanish', 'Norwegian', 'German']",0,77,0,2021
9. Ghostbusters: Afterlife,https://www.imdb.com/title/tt4513678/?ref_=sr_t_9,2021,2h 4m,PG-13,7.0,230K,75000000.0,204445747.0,129471867.0,44008406.0,['Jason Reitman'],"['Gil Kenan', 'Jason Reitman', 'Ivan Reitman']","['Carrie Coon', 'Paul Rudd', 'Finn Wolfhard']","['Supernatural Fantasy', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['United States', 'Canada']","['Calgary, Alberta, Canada']","['Columbia Pictures', 'BRON Studios', 'Ghostcorps']",['English'],0,21,1,2021
10. Free Guy,https://www.imdb.com/title/tt6264654/?ref_=sr_t_10,2021,1h 55m,PG-13,7.1,451K,120000000.0,331526598.0,121626598.0,28365416.0,['Shawn Levy'],"['Matt Lieberman', 'Zak Penn']","['Ryan Reynolds', 'Jodie Comer', 'Taika Waititi']","['Artificial Intelligence', 'High-Concept Comedy', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']","['United States', 'Canada']","['Worcester, Massachusetts, USA']","['20th Century Studios', 'Berlanti Productions', '21 Laps Entertainment']","['English', 'Japanese', 'German']",0,29,1,2021
