Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Pirates of the Caribbean: Dead Man's Chest,https://www.imdb.com/title/tt0383574/?ref_=sr_t_1,2006,2h 31m,PG-13,7.4,787K,225000000.0,1066179747,423315812,135634554.0,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']","['Adventure Epic', 'Sea Adventure', 'Swashbuckler', 'Action', 'Adventure', 'Fantasy']",['United States'],"['St Vincent, St Vincent and the Grenadines']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['English', 'Turkish', 'Greek', 'Mandarin', 'French']",0,54,0,2006
2. Night at the Museum,https://www.imdb.com/title/tt0477347/?ref_=sr_t_2,2006,1h 48m,PG,6.5,388K,110000000.0,574482479,250863268,30433781.0,['Shawn Levy'],"['Robert Ben Garant', 'Thomas Lennon', 'Milan Trenc']","['Ben Stiller', 'Carla Gugino', 'Ricky Gervais']","['Supernatural Fantasy', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['United States', 'United Kingdom']","['American Museum of Natural History - Central Park West at 79th Street, Manhattan, New York City, New York, USA']","['Twentieth Century Fox', 'Ingenious Film Partners', '1492 Pictures']","['English', 'Italian', 'Hebrew']",0,8,0,2006
3. Cars,https://www.imdb.com/title/tt0317219/?ref_=sr_t_3,2006,1h 56m,G,7.3,491K,120000000.0,461996328,244082982,60119509.0,"['John Lasseter', 'Joe Ranft']","['John Lasseter', 'Joe Ranft', 'Jorgen Klubien']","['Owen Wilson', 'Bonnie Hunt', 'Paul Newman']","['Computer Animation', 'Motorsport', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","['English', 'Italian', 'Japanese', 'Yiddish']",0,34,2,2006
4. X-Men: The Last Stand,https://www.imdb.com/title/tt0376994/?ref_=sr_t_4,2006,1h 44m,PG-13,6.6,554K,210000000.0,460435291,234362462,102750665.0,['Brett Ratner'],"['Simon Kinberg', 'Zak Penn']","['Patrick Stewart', 'Hugh Jackman', 'Halle Berry']","['Superhero', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'United Kingdom', 'Canada']","['Hatley Castle, Royal Roads, Colwood, British Columbia, Canada']","['Twentieth Century Fox', 'Marvel Entertainment', ""Donners' Company""]",['English'],0,40,0,2006
5. The Da Vinci Code,https://www.imdb.com/title/tt0382625/?ref_=sr_t_5,2006,2h 29m,PG-13,6.6,468K,125000000.0,760006945,217536138,77073388.0,['Ron Howard'],"['Akiva Goldsman', 'Dan Brown']","['Tom Hanks', 'Audrey Tautou', 'Jean Reno']","['Globetrotting Adventure', 'Suspense Mystery', 'Mystery', 'Thriller']","['United States', 'Malta', 'France', 'United Kingdom']","['Rosslyn Chapel, Midlothian, Scotland, UK']","['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions']","['English', 'French', 'Latin', 'Spanish']",0,21,0,2006
6. 300,https://www.imdb.com/title/tt0416449/?ref_=sr_t_6,2006,1h 57m,R,7.6,881K,65000000.0,456082343,210629101,70885301.0,['Zack Snyder'],"['Zack Snyder', 'Kurt Johnstad', 'Michael B. Gordon']","['Gerard Butler', 'Lena Headey', 'David Wenham']","['Action Epic', 'Epic', 'Sword & Sandal', 'Action', 'Drama']","['United States', 'Canada', 'Bulgaria']","['Ice Storm Studios - 2595 Place Chassé, Montréal, Québec, Canada']","['Warner Bros.', 'Legendary Entertainment', 'Virtual Studios']",['English'],0,57,0,2006
7. Superman Returns,https://www.imdb.com/title/tt0348150/?ref_=sr_t_7,2006,2h 34m,PG-13,6.1,294K,270000000.0,391081192,200081192,52535096.0,['Bryan Singer'],"['Michael Dougherty', 'Dan Harris', 'Bryan Singer']","['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']","['Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'Australia']","['Newcastle, New South Wales, Australia']","['Warner Bros.', 'Legendary Entertainment', 'Peters Entertainment']","['English', 'German', 'French']",0,47,1,2006
8. Happy Feet,https://www.imdb.com/title/tt0366548/?ref_=sr_t_8,2006,1h 48m,PG,6.4,205K,100000000.0,384336108,198000317,41533432.0,"['George Miller', 'Warren Coleman', 'Judy Morris']","['George Miller', 'John Collee', 'Judy Morris']","['Elijah Wood', 'Brittany Murphy', 'Hugh Jackman']","['Animal Adventure', 'Computer Animation', 'Jukebox Musical', 'Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']","['United States', 'Australia']","['Disney Studios, Moore Park, Sydney, New South Wales, Australia']","['Warner Bros.', 'Village Roadshow Pictures', 'Kennedy Miller Productions']",['English'],0,26,0,2006
9. Ice Age: The Meltdown,https://www.imdb.com/title/tt0438097/?ref_=sr_t_9,2006,1h 31m,PG,6.8,304K,80000000.0,667094506,195330621,68033544.0,['Carlos Saldanha'],"['Peter Gaulke', 'Gerry Swallow', 'Jim Hecht']","['Ray Romano', 'John Leguizamo', 'Denis Leary']","['Animal Adventure', 'Computer Animation', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family']","['United States', 'United Kingdom']",[],"['Twentieth Century Fox Animation', 'Blue Sky Studios']",['English'],0,16,0,2006
10. Casino Royale,https://www.imdb.com/title/tt0381061/?ref_=sr_t_10,2006,2h 24m,PG-13,8.0,710K,150000000.0,616577552,167445960,40833156.0,['Martin Campbell'],"['Neal Purvis', 'Robert Wade', 'Paul Haggis']","['Daniel Craig', 'Eva Green', 'Judi Dench']","['Globetrotting Adventure', 'Spy', 'Action', 'Adventure', 'Thriller']","['United States', 'United Kingdom', 'Czech Republic', 'Germany', 'Bahamas']","['Villa La Gaeta, San Siro, Lake Como, Lombardia, Italy']","['Columbia Pictures', 'Eon Productions', 'Casino Royale Productions']","['English', 'Serbian', 'German', 'Italian', 'French']",0,44,0,2006
